"Category","Variable or feature","Trend or status 2050","Trend or status 2100"
"Development scenario","Societal sustainability awareness","Medium","High"
,"Travel demand per capita (pkm/yr)","Similar to the baseline (2017)","Lower than the baseline (2017)"
,"Total travel demand (pkm/yr)","Higher than the baseline (2017)","Higher than the baseline (2017)"
,"Consumption patterns","Lower consumption levels in HICs, increased consumption in LICs","Less carbon (travel) intensive consumption; lower consumption levels"
,"Carbon intensity","Medium; power grid is increasingly decarbonized, but not completely","Low; the system is as decarbonized as possible (electrification)"
,"IT access","Widespread in HICs; increasing use of IT services for teleworking, car sharing, intermodal travel, …","Widespread, high speed and capacity networks; IT services for teleworking, car sharing, intermodal travel, …"
"Land use (urban development)","Urban density","Medium-high and increasing","High (higher than 2017 baseline)"
,"Land use patterns","Mixed-use development paradigm","Mixed-use development paradigm"
,"Economic centralisation","High; big cities accumulate a big share of the activity","Medium; cities are hotspots, but jobs are spread amongst them"
,"City sizes","Medium to large; megacities and (sub)urban sprawl beginning to shrink","Medium; avoidance of megacities or (sub)urban sprawl"
"Travel modes share","Intermodal travel","Facilitated, but still not common","Facilitated, high acceptancy and usage"
,"Public transport (rail, bus, aviation)","Increasing demand supply; higher than the baseline (2017)","Majority of demand supply; much higher than the baseline (2017)"
,"Automobility (private vehicles)","Lower than the baseline (2017)","Still relevant, but much lower than the baseline (2017)"
,"Slow modes (walking and cycling)","Moderate increase compared to baseline (2017)","Higher than the baseline (2017)"
"Cultural perception","Mobility","Accessibility as a focus, managed, reasonable travel time, integrated","Accessibility, local in scale, slowed down, managed, reasonable travel time and reliability, integrated"
,"Public transport","Public mobility as an affordable and accessible service","Public mobility as a reliable, comfortable, enjoyable and accessible service"
,"Automobility","Automobility fills accessibility gaps; symbolic status decreasing","Automobility as a utility to serve a special need"
"Public transport","Reliability","Medium (higher than the baseline)","High"
,"Consumer cost","Low","Low"
,"Accessibility","Medium-high","High"
,"Safety","High","High"
,"Public transport infrastructure investments","High and continuous","High and continuous"
"Automobility","Reliability","High","High"
,"Consumer cost","Medium","High"
,"Accessibility","High","High (especially in rural or remote areas)"
,"Safety","Medium (especially Low Income Countries)","High (higher risk than public transport)"
,"Automobility infrastructure investments (roads, fuel stations, etc.)","Medium; maintenance dominates in HICs; capacity increased in LICs","Low to medium; maintenance covers the majority of the investments; capacity is not increased"
"Fuel technology","Automobiles","Battery electric vehicles and hybrids for short-medium ranged trips; biofuelled for long range","Battery electric vehicles for short-medium ranged trips; hydrogen fuelled for long range"
,"Rail","Full electrification of the network","Full electrification of the network"
,"Bus","Hybrid, or biofuelled","Electric or hydrogen-fuelled"
,"Aviation","Renewable biofuels","Renewable biofuels"
